,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
516,2675.0,7105.0,826.0,35.0,389.0,11030.0
517,2153.0,6435.0,776.0,32.0,158.0,9554.0
518,2408.0,7746.0,821.0,30.0,317.0,11321.0
519,2342.0,7856.0,940.0,34.0,342.0,11515.0
520,3770.0,9081.0,1023.0,30.0,475.0,14379.0
521,4326.0,10002.0,1035.0,27.0,551.0,15941.0
522,4690.0,10076.0,1047.0,32.0,688.0,16532.0
523,5199.0,9970.0,1026.0,28.0,1138.0,17362.0
524,4257.0,9429.0,981.0,34.0,918.0,15619.0
525,3370.0,8814.0,924.0,35.0,292.0,13435.0
526,2499.0,7738.0,879.0,33.0,266.0,11416.0
527,2251.0,7430.0,912.0,37.0,407.0,11036.0
528,2633.0,7049.0,803.0,35.0,374.0,10895.0
529,2603.0,6342.0,691.0,33.0,299.0,9968.0
530,2734.0,7407.0,836.0,33.0,454.0,11463.0
531,2425.0,7943.0,971.0,31.0,493.0,11863.0
532,3907.0,9382.0,1045.0,30.0,277.0,14639.0
533,4664.0,10296.0,1058.0,29.0,324.0,16371.0
534,5658.0,10508.0,1059.0,31.0,608.0,17864.0
535,5367.0,10126.0,1071.0,30.0,533.0,17126.0
536,5045.0,9798.0,993.0,33.0,320.0,16190.0
537,3649.0,8865.0,967.0,34.0,270.0,13785.0
538,2488.0,7787.0,890.0,32.0,234.0,11431.0
539,2243.0,7382.0,896.0,37.0,227.0,10786.0
540,2554.0,7113.0,876.0,35.0,223.0,10801.0
541,2289.0,6367.0,762.0,31.0,169.0,9619.0
542,2597.0,7562.0,875.0,34.0,209.0,11276.0
543,2661.0,7928.0,871.0,31.0,234.0,11725.0
544,3896.0,9713.0,1103.0,28.0,292.0,15032.0
545,4706.0,10701.0,1127.0,30.0,338.0,16902.0
546,5207.0,10172.0,1037.0,30.0,349.0,16794.0
547,5535.0,9956.0,1039.0,31.0,652.0,17212.0
548,4386.0,9637.0,1045.0,31.0,580.0,15679.0
549,3556.0,8943.0,931.0,34.0,486.0,13949.0
550,2841.0,8173.0,879.0,35.0,349.0,12277.0
551,2140.0,7630.0,892.0,36.0,392.0,11091.0
552,2677.0,7410.0,881.0,31.0,227.0,11227.0
553,2738.0,6392.0,731.0,34.0,169.0,10065.0
554,2799.0,7079.0,827.0,34.0,209.0,10948.0
555,2917.0,8099.0,877.0,32.0,335.0,12260.0
556,3658.0,9518.0,1041.0,32.0,418.0,14667.0
557,4819.0,10348.0,1047.0,29.0,500.0,16743.0
558,5350.0,10536.0,1111.0,28.0,515.0,17540.0
559,4961.0,10057.0,1034.0,32.0,464.0,16549.0
560,4595.0,9381.0,989.0,32.0,529.0,15526.0
561,3858.0,9281.0,980.0,35.0,436.0,14589.0
562,2615.0,7955.0,861.0,35.0,263.0,11728.0
563,2131.0,7681.0,875.0,35.0,274.0,10996.0
564,2455.0,7211.0,843.0,34.0,209.0,10751.0
565,2205.0,6555.0,764.0,36.0,184.0,9743.0
566,2531.0,7492.0,861.0,33.0,234.0,11150.0
567,2614.0,7939.0,868.0,29.0,324.0,11773.0
568,3128.0,9336.0,1021.0,32.0,335.0,13853.0
569,4685.0,10183.0,1073.0,28.0,454.0,16423.0
570,4847.0,10447.0,1024.0,31.0,616.0,16965.0
571,5574.0,10423.0,1055.0,31.0,677.0,17760.0
572,5244.0,9953.0,1031.0,31.0,612.0,16871.0
573,3884.0,9256.0,910.0,36.0,436.0,14522.0
574,2731.0,7665.0,840.0,34.0,252.0,11522.0
575,2230.0,7432.0,906.0,33.0,497.0,11098.0
576,2592.0,7503.0,821.0,38.0,306.0,11260.0
577,2615.0,6372.0,769.0,32.0,191.0,9978.0
578,2744.0,7556.0,820.0,31.0,317.0,11467.0
579,2530.0,8152.0,880.0,31.0,450.0,12043.0
580,4067.0,10418.0,1113.0,29.0,500.0,16127.0
581,4288.0,10417.0,1051.0,28.0,169.0,15953.0
582,5370.0,10334.0,1013.0,30.0,0.0,16746.0
583,5040.0,10452.0,1058.0,31.0,0.0,16580.0
584,4511.0,9621.0,948.0,29.0,68.0,15178.0
585,3315.0,8790.0,874.0,35.0,0.0,13014.0
586,2627.0,8164.0,864.0,33.0,0.0,11688.0
587,2266.0,7911.0,871.0,34.0,0.0,11082.0
588,2472.0,7693.0,832.0,35.0,0.0,11032.0
589,2271.0,6783.0,743.0,31.0,0.0,9828.0
590,2551.0,8096.0,827.0,31.0,0.0,11505.0
591,2862.0,8745.0,921.0,31.0,0.0,12560.0
592,3295.0,9660.0,962.0,29.0,0.0,13946.0
593,4788.0,10308.0,1011.0,26.0,0.0,16133.0
594,5239.0,11034.0,1033.0,32.0,0.0,17337.0
595,5497.0,10497.0,1024.0,30.0,0.0,17048.0
596,4879.0,9827.0,917.0,32.0,0.0,15656.0
597,4016.0,9265.0,895.0,34.0,0.0,14209.0
598,2698.0,7712.0,835.0,31.0,0.0,11276.0
599,2370.0,7543.0,813.0,34.0,0.0,10760.0
600,2255.0,7646.0,832.0,32.0,0.0,10765.0
601,2472.0,6659.0,729.0,28.0,0.0,9889.0
602,2701.0,7457.0,802.0,34.0,0.0,10993.0
603,2699.0,6976.0,828.0,32.0,0.0,10535.0
604,4646.0,9182.0,1047.0,27.0,0.0,14903.0
605,5213.0,10289.0,1001.0,28.0,0.0,16531.0
606,6124.0,10635.0,1014.0,28.0,0.0,17801.0
607,5466.0,9754.0,1047.0,29.0,0.0,16297.0
608,5774.0,9063.0,916.0,28.0,0.0,15782.0
609,4007.0,8234.0,805.0,30.0,0.0,13076.0
610,2928.0,7762.0,834.0,32.0,0.0,11557.0
611,2388.0,7384.0,816.0,32.0,0.0,10621.0
