YR_MTH,REGION,pub_UTL_RATE
201911,HK,26.2135417341295
201911,KLN,21.907939422698604
201911,NT,22.831004443325
201912,HK,26.264125190452
201912,KLN,23.949576107596197
201912,NT,23.650580088077604
202001,HK,25.7672360975672
202001,KLN,23.4459615364155
202001,NT,22.887387527941698
202002,HK,25.479986889609197
202002,KLN,20.362582274342998
202002,NT,22.272729246928
202003,HK,31.420037691365103
202003,KLN,25.8753552813207
202003,NT,29.0033455151914
202004,HK,35.5703638831502
202004,KLN,28.870197287555104
202004,NT,31.8280014660816
202005,HK,36.400611836134296
202005,KLN,30.7863086961729
202005,NT,32.7605426604557
202006,HK,33.773773290175
202006,KLN,30.792143357459697
202006,NT,31.3876436024407
202007,HK,34.3858250808011
202007,KLN,30.7979986660778
202007,NT,31.0991306563594
202008,HK,32.6783557612488
202008,KLN,29.760214001519397
202008,NT,30.151252789179395
202009,HK,34.012028537729805
202009,KLN,30.6325141261437
202009,NT,31.078170333666
202010,HK,36.055434344843796
202010,KLN,31.4358551187048
202010,NT,33.1554178412506
202011,HK,39.6513919953008
202011,KLN,34.564798172695305
202011,NT,35.492287864082705
202012,HK,40.2243271720436
202012,KLN,34.5659794116498
202012,NT,35.6016030260216
