,HK_pub_UTL_RATE,KLN_pub_UTL_RATE,NT_pub_UTL_RATE,YR_MTH
pub_UTL_RATE,26.2135417341295,21.907939422698604,22.831004443325,201911
pub_UTL_RATE,26.264125190452,23.949576107596197,23.650580088077604,201912
pub_UTL_RATE,25.7672360975672,23.4459615364155,22.887387527941698,202001
pub_UTL_RATE,25.479986889609197,20.362582274342998,22.272729246928,202002
pub_UTL_RATE,31.420037691365103,25.8753552813207,29.0033455151914,202003
pub_UTL_RATE,35.5703638831502,28.870197287555104,31.8280014660816,202004
pub_UTL_RATE,36.400611836134296,30.7863086961729,32.7605426604557,202005
pub_UTL_RATE,33.773773290175,30.792143357459697,31.3876436024407,202006
pub_UTL_RATE,34.3858250808011,30.7979986660778,31.0991306563594,202007
pub_UTL_RATE,32.6783557612488,29.760214001519397,30.151252789179395,202008
pub_UTL_RATE,34.012028537729805,30.6325141261437,31.078170333666,202009
pub_UTL_RATE,36.055434344843796,31.4358551187048,33.1554178412506,202010
pub_UTL_RATE,39.6513919953008,34.564798172695305,35.492287864082705,202011
pub_UTL_RATE,40.2243271720436,34.5659794116498,35.6016030260216,202012
